Position,Classification_Code,Starting step,Coalition,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Total increase over the contract,Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Wildland Fire Dispatcher Entry,8363,1,Strikeable,0,,,,,1500,0,
Wildland Fire Suppression Specialist,8355,1,Strikeable,3218,3709,4118,491,900,9437,38616,49416
Wildland Fire Suppression Specialist Entry,8354,1,Strikeable,0,,,,,1500,0,
Word Processing Technician 2,531,1,Strikeable,0,,,,,1500,0,
Word Processing Technician 3,533,1,Strikeable,3095,3552,3952,457,857,9134,37140,47424
Youth Corrections Unit Coordinator,6755,1,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Accountant 1,1316,2,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Accountant 2,1317,2,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Accountant 3,1318,2,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Accounting Technician,313,2,Strikeable,3629,4036,4498,407,869,10451,43548,53976
Activities Coordinator,6530,2,Strikeable,3629,4222,4715,593,1086,10451,43548,56580
Administrative Law Judge 1,1510,2,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Administrative Law Judge 2,1511,2,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Administrative Law Judge 3,1513,2,Strikeable,8450,9447,10545,997,2095,22341,101400,126540
Administrative Specialist 1,107,2,Strikeable,3335,3709,4118,374,783,9726,40020,49416
Administrative Specialist 2,108,2,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Adult Protective Service Specialist,6616,2,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Aerial Photographer,3540,2,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Aircraft Pilot,8333,2,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Appraiser Analyst 1,735,2,Strikeable,3483,3865,4301,382,818,10091,41796,51612
Appraiser Analyst 2,736,2,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Appraiser Analyst 3,737,2,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Appraiser Analyst 4,738,2,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Apprenticeship Representative,4380,2,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Automotive Fleet Attendant,4417,2,Strikeable,3005,3427,3784,422,779,8912,36060,45408
Automotive Technician 1,4418,2,Strikeable,3629,4036,4498,407,869,10451,43548,53976
Automotive Technician 2,4419,2,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Behavioral Health Specialist 1,6531,2,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Behavioral Health Specialist 2,6534,2,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Behavioral Health Specialist 3,6535,2,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Biological Science Assistant,3769,2,Strikeable,0,,,,,1500,0,
Business & Employment Specialist 2,6699,2,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Carpenter,4003,2,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Certified Occupation Therapist Assistant,6506,2,Strikeable,3790,4425,4943,635,1153,10848,45480,59316
Chaplain,6680,2,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Chemist 1,3715,2,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Chemist 2,3716,2,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Chemist 3,3717,2,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Child Nutrition Specialist,5950,2,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Child Support Case Manager,5139,2,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Child Support Case Manager Entry,5138,2,Strikeable,3629,4036,4498,407,869,10451,43548,53976
Child Support Specialist,5133,2,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Civil Engineering Specialist 1,3136,2,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Civil Rights Investigator 1,5340,2,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Civil Rights Investigator 2,5341,2,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Claims Representative 1,5307,2,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Claims Representative 2,5308,2,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Client Care Surveyor,6685,2,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Clinical Laboratory Scientist,6833,2,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Clinical Psychologist 1,6394,2,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Clinical Psychologist 2,6395,2,Strikeable,7678,8581,9589,903,1911,20437,92136,115068
Communicable Disease Analyst,5903,2,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Community Outreach Specialist,6614,2,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Compliance Specialist 1,5346,2,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Compliance Specialist 2,5347,2,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Compliance Specialist 3,5348,2,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Construction Inspector,3365,2,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Construction Project Manager 1,3367,2,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Construction Project Manager 2,3368,2,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Construction Project Manager 3,3369,2,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Cook,9117,2,Strikeable,3335,3709,4118,374,783,9726,40020,49416
Custodial Services Coordinator,4103,2,Strikeable,0,,,,,1500,0,
Custodian,4101,2,Strikeable,0,,,,,1500,0,
Data Entry Control Technician,1475,2,Strikeable,0,,,,,1500,0,
Data Entry Operator,501,2,Strikeable,0,,,,,1500,0,
Dental Assistant 2,6394,2,Strikeable,3790,4425,4943,635,1153,10848,45480,59316
Dental Hygienist,6396,2,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Dietitian 2,6371,2,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Disability Analyst 1,5936,2,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Disability Analyst 2,5937,2,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
District Veterinarian,6440,2,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
DOJ Claims Examiner,5933,2,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Dormitory Counselor 1,6767,2,Strikeable,3218,3552,3952,334,734,9437,38616,47424
Dormitory Counselor 2,6768,2,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Economist 1,1161,2,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Economist 2,1163,2,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Economist 3,1163,2,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Economist 4,1164,2,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Education Program Specialist 1,3300,2,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Education Program Specialist 2,3301,2,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Electrician 2,4008,2,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Electrician 3,4009,2,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Electronic Publishing Design Specialist 1,3510,2,Strikeable,3335,3709,4118,374,783,9726,40020,49416
Electronic Publishing Design Specialist 2,3511,2,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Electronic Publishing Design Specialist 3,3513,2,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Electronic Security Technician 2,4051,2,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Employment Adjudicator,6693,2,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Employment Appeals Board Legal Staff,1543,2,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Engineering Technician 2,3110,2,Strikeable,3629,4036,4498,407,869,10451,43548,53976
Engineering Technician 3,3111,2,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Environmental Engineer 2,3411,2,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Environmental Engineer 3,3413,2,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Environmental Health Specialist 3,3819,2,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Epidemiologist 1,6316,2,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Epidemiologist 2,6317,2,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Epidemiologist 3,6318,2,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Equipment Operator,4433,2,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Executive Assistant,830,2,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Executive Support Specialist 1,118,2,Strikeable,3335,3709,4118,374,783,9726,40020,49416
Executive Support Specialist 2,119,2,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Facilities Engineer 1,3351,2,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Facilities Engineer 3,3353,2,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Facility Energy Technician 2,4033,2,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Facility Energy Technician 3,4034,2,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Facility Energy Technician 4,4035,2,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Facility Maintenance Specialist,4013,2,Strikeable,3483,3865,4301,382,818,10091,41796,51612
Facility Operations Specialist 1,4014,2,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Facility Operations Specialist 2,4015,2,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Financial Enforcement Officer,1547,2,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Financial Examiner 1,5675,2,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Financial Examiner 2,5676,2,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Financial Examiner 3,5677,2,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Financial Investigator 1,5335,2,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Fiscal Analyst 1,1343,2,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Fiscal Analyst 2,1344,2,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Fiscal Analyst 3,1345,2,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Fiscal Auditor 1,5641,2,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Fish and Wildlife Technical Coordinator,8346,2,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Fish and Wildlife Technician,8341,2,Strikeable,3335,3709,4118,374,783,9726,40020,49416
Fish and Wildlife Technician Entry,8340,2,Strikeable,0,,,,,1500,0,
Fish and Wildlife Technician Senior,8343,2,Strikeable,3629,4036,4498,407,869,10451,43548,53976
Food Service Worker,9103,2,Strikeable,0,,,,,1500,0,
Forest Crew Coordinator,8318,2,Strikeable,3629,4036,4498,407,869,10451,43548,53976
Forest Lookout,8353,2,Strikeable,0,,,,,1500,0,
Forest Management Technician,8311,2,Strikeable,3218,3552,3952,334,734,9437,38616,47424
Forest Officer,8357,2,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Geologist 2,3531,2,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Governmental Auditor 1,5646,2,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Governmental Auditor 2,5647,2,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Governmental Auditor 3,5648,2,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Grounds Maintenance Worker 1,4109,2,Strikeable,3005,3427,3784,422,779,8912,36060,45408
Grounds Maintenance Worker 2,4110,2,Strikeable,3335,3709,4118,374,783,9726,40020,49416
Group Life Coordinator 1,6750,2,Strikeable,3095,3552,3952,457,857,9134,37140,47424
Group Life Coordinator 2,6751,2,Strikeable,3629,4222,4715,593,1086,10451,43548,56580
Hairdresser,9300,2,Strikeable,0,,,,,1500,0,
Health Care Investigator/Advisor,5911,2,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Health Information Specialist,15,2,Strikeable,3483,3865,4301,382,818,10091,41796,51612
Heavy Equipment Technician 1,4437,2,Strikeable,0,,,,,1500,0,
Heavy Equipment Technician 2,4438,2,Strikeable,0,,,,,1500,0,
Human Services Assistant 2,6606,2,Strikeable,3218,3552,3952,334,734,9437,38616,47424
Human Services Case Manager,6630,2,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Human Services Specialist 1,6657,2,Strikeable,3095,3427,3784,332,689,9134,37140,45408
Human Services Specialist 2,6658,2,Strikeable,3335,3709,4118,374,783,9726,40020,49416
Human Services Specialist 3,6659,2,Strikeable,3629,4036,4498,407,869,10451,43548,53976
Human Services Specialist 4,6660,2,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Incident Response Operations Specialist,4165,2,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Industrial Hygienist 2,5706,2,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Industrial Hygienist 3,5707,2,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Industrial Hygienist 4,5708,2,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Information Systems Specialist 2,1483,2,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Information Systems Specialist 3,1483,2,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Information Systems Specialist 4,1484,2,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Information Systems Specialist 5,1485,2,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Information Systems Specialist 6,1486,2,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Information Systems Specialist 7,1487,2,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Information Systems Specialist 8,1488,2,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Institution Registered Nurse,6314,2,Strikeable,7074,7892,8810,818,1736,18947,84888,105720
Insurance Examiner,5748,2,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Insurance Examiner Entry,5747,2,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Investigator 1,5331,2,Strikeable,3629,4036,4498,407,869,10451,43548,53976
Investigator 2,5333,2,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Investigator 3,5333,2,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Investment Analyst 1,1333,2,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Investment Analyst 2,1333,2,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Investment Analyst 3,1334,2,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,6633,2,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Laboratory Technician 2,6811,2,Strikeable,3335,3709,4118,374,783,9726,40020,49416
Laborer/Student Worker,4116,2,Strikeable,0,,,,,1500,0,
Legal Secretary,110,2,Strikeable,3483,3865,4301,382,818,10091,41796,51612
Librarian,3330,2,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Licensed Practical Nurse,6135,2,Strikeable,4339,4854,5399,515,1060,12202,52068,64788
Livestock Brand Inspector,5430,2,Strikeable,3095,3427,3784,332,689,9134,37140,45408
Loan Specialist 1,1001,2,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Loan Specialist 2,1003,2,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Loan Specialist 3,1003,2,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Machinist,4018,2,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Mail Delivery Driver,4404,2,Strikeable,3095,3427,3784,332,689,9134,37140,45408
Mail Equipment Operator 1,403,2,Strikeable,0,,,,,1500,0,
Mail Equipment Operator 2,404,2,Strikeable,3095,3427,3784,332,689,9134,37140,45408
Mail Services Assistant,405,2,Strikeable,0,,,,,1500,0,
Manual Arts Instructor,3304,2,Strikeable,3335,3709,4118,374,783,9726,40020,49416
Medical Consultant,7538,2,Strikeable,9293,10385,11622,1092,2329,24420,111516,139464
Medical Laboratory Technician 1,6830,2,Strikeable,3483,3865,4301,382,818,10091,41796,51612
Medical Laboratory Technician 2,6831,2,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Medical Review Coordinator,6310,2,Strikeable,7074,7892,8810,818,1736,18947,84888,105720
Mental Health Security Technician,6708,2,Strikeable,3335,3865,4301,530,966,9726,40020,51612
Mental Health Therapist 1,6711,2,Strikeable,3335,3865,4301,530,966,9726,40020,51612
Mental Health Therapist 2,6713,2,Strikeable,3629,4222,4715,593,1086,10451,43548,56580
Mental Health Therapy Coordinator,6718,2,Strikeable,3629,4222,4715,593,1086,10451,43548,56580
Mental Health Therapy Technician,6710,2,Strikeable,3095,3552,3952,457,857,9134,37140,47424
Microbiologist 1,3779,2,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Microbiologist 2,3780,2,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Microbiologist 3,3781,2,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Motor Carrier Enforcement Officer 1,5857,2,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Motor Carrier Enforcement Officer 2,5858,2,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Natural Resource Specialist 1,8501,2,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Natural Resource Specialist 2,8503,2,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Natural Resource Specialist 3,8503,2,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Natural Resource Specialist 4,8504,2,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Natural Resource Specialist 5,8505,2,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Nutrition Consultant,5955,2,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Occupational Safety Specialist 1,5709,2,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Occupational Safety Specialist 2,5710,2,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Occupational Safety Specialist 3,5711,2,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Occupational Therapist,6508,2,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Office Assistant 1,101,2,Strikeable,0,,,,,1500,0,
Office Assistant 2,103,2,Strikeable,0,,,,,1500,0,
Office Coordinator,801,2,Strikeable,3095,3427,3784,332,689,9134,37140,45408
Office Specialist 1,103,2,Strikeable,0,,,,,1500,0,
Office Specialist 2,104,2,Strikeable,3095,3427,3784,332,689,9134,37140,45408
Operations & Policy Analyst 1,870,2,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Operations & Policy Analyst 2,871,2,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Operations & Policy Analyst 3,873,2,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Operations & Policy Analyst 4,873,2,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Painter,4001,2,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Paralegal,1534,2,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Park Ranger 1,8434,2,Strikeable,3483,3865,4301,382,818,10091,41796,51612
Park Ranger 2,8435,2,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Park Ranger 3,8436,2,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Park Ranger Assistant,8433,2,Strikeable,0,,,,,1500,0,
Park Specialist,8445,2,Strikeable,3335,3709,4118,374,783,9726,40020,49416
Parking Services Representative,5550,2,Strikeable,3005,3427,3784,422,779,8912,36060,45408
Parts Specialist 2,783,2,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Payroll Analyst,314,2,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Pharmacist,6360,2,Strikeable,9293,10385,11622,1092,2329,24420,111516,139464
