Position,Classification_Code,Starting step,Coalition,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Custodial Services Coordinator,,1,Non-Strikeable,3009,3446.34,3414.485318,437,405,36108,40974
Data Entry Control Technician,,1,Non-Strikeable,0,,0,,0,0,0
Data Entry Operator,,1,Non-Strikeable,0,,0,,0,0,0
Dental Assistant 2,,1,Non-Strikeable,3959,4842.555,4492.504943,884,534,47508,53910
Dental Hygienist,,1,Non-Strikeable,5920,6608.325,6717.7644,688,798,71040,80613
Disability Analyst 1,,1,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
District Veterinarian,,1,Non-Strikeable,5920,6608.325,6717.7644,688,798,71040,80613
DOJ Claims Examiner,,1,Non-Strikeable,4547,5075.79,5666.978955,529,1120,54564,68004
Dormitory Counselor 1,,1,Non-Strikeable,3334,3838.26,3783.281505,504,449,40008,45399
Dormitory Counselor 2,,1,Non-Strikeable,3959,4618.905,4492.504943,660,534,47508,53910
Economist 1,,1,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Electronic Publishing Design Specialist 1,,1,Non-Strikeable,3477,4025.7,3945.551828,549,469,41724,47347
Employment Adjudicator,,1,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Employment Appeals Board Legal Staff,,1,Non-Strikeable,5920,6608.325,6717.7644,688,798,71040,80613
Engineering Technician 2,,1,Non-Strikeable,3780,4417.62,4289.38335,638,509,45360,51473
Engineering Technician 3,,1,Non-Strikeable,4148,4842.555,4706.97411,695,559,49776,56484
Equipment Operator,,1,Non-Strikeable,4148,4842.555,4706.97411,695,559,49776,56484
Executive Support Specialist 1,,1,Non-Strikeable,3477,4025.7,3945.551828,549,469,41724,47347
Executive Support Specialist 2,,1,Non-Strikeable,3959,4618.905,4492.504943,660,534,47508,53910
Facility Energy Technician 4,,1,Non-Strikeable,5920,6608.325,6717.7644,688,798,71040,80613
Fiscal Analyst 1,,1,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Fiscal Auditor 1,,1,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Fish and Wildlife Technical Coordinator,,1,Non-Strikeable,4148,4842.555,4706.97411,695,559,49776,56484
Fish and Wildlife Technician,,1,Non-Strikeable,3477,4025.7,3945.551828,549,469,41724,47347
Fish and Wildlife Technician Entry,,1,Non-Strikeable,3009,3316.41,3414.485318,307,405,36108,40974
Fish and Wildlife Technician Senior,,1,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Food Service Worker,,1,Non-Strikeable,3009,3550.71,3414.485318,542,405,36108,40974
Forest Crew Coordinator,,1,Non-Strikeable,3780,4417.62,4289.38335,638,509,45360,51473
Forest Lookout,,1,Non-Strikeable,0,,0,,0,0,0
Forest Management Technician,,1,Non-Strikeable,3334,3838.26,3783.281505,504,449,40008,45399
Forest Officer,,1,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Governmental Auditor 3,,1,Non-Strikeable,5920,6608.325,6717.7644,688,798,71040,80613
Grounds Maintenance Worker 1,,1,Non-Strikeable,3114,3550.71,3533.634855,437,420,37368,42404
Grounds Maintenance Worker 2,,1,Non-Strikeable,3477,4025.7,3945.551828,549,469,41724,47347
Group Life Coordinator 1,,1,Non-Strikeable,3236,3838.26,3672.07527,602,436,38832,44065
Group Life Coordinator 2,,1,Non-Strikeable,3780,4618.905,4289.38335,839,509,45360,51473
Human Services Assistant 2,,1,Non-Strikeable,3334,3703.005,3783.281505,369,449,40008,45399
Human Services Case Manager,,1,Non-Strikeable,4148,4842.555,4706.97411,695,559,49776,56484
Human Services Specialist 1,,1,Non-Strikeable,3236,3703.005,3672.07527,467,436,38832,44065
Human Services Specialist 2,,1,Non-Strikeable,3477,4025.7,3945.551828,549,469,41724,47347
Human Services Specialist 3,,1,Non-Strikeable,3780,4417.62,4289.38335,638,509,45360,51473
Incident Response Operations Specialist,,1,Non-Strikeable,3959,4618.905,4492.504943,660,534,47508,53910
Industrial Hygienist 3,,1,Non-Strikeable,5920,6608.325,6717.7644,688,798,71040,80613
Investigator 1,,1,Non-Strikeable,3780,4417.62,4289.38335,638,509,45360,51473
Investigator 2,,1,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Laboratory Technician 2,,1,Non-Strikeable,3477,4025.7,3945.551828,549,469,41724,47347
Laborer/Student Worker,,1,Non-Strikeable,0,,0,,0,0,0
Licensed Practical Nurse,,1,Non-Strikeable,4129,4611.45,4685.413718,482,556,49548,56225
Livestock Brand Inspector,,1,Non-Strikeable,3236,3703.005,3672.07527,467,436,38832,44065
Loan Specialist 1,,1,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Mail Delivery Driver,,1,Non-Strikeable,3236,3703.005,3672.07527,467,436,38832,44065
Mail Equipment Operator 1,,1,Non-Strikeable,0,,0,,0,0,0
Mail Equipment Operator 2,,1,Non-Strikeable,3236,3703.005,3672.07527,467,436,38832,44065
Mail Services Assistant,,1,Non-Strikeable,3009,3446.34,3414.485318,437,405,36108,40974
Manual Arts Instructor,,1,Non-Strikeable,3477,3838.26,3945.551828,361,469,41724,47347
Medical Laboratory Technician 2,,1,Non-Strikeable,3959,4618.905,4492.504943,660,534,47508,53910
Mental Health Security Technician,,1,Non-Strikeable,3477,4216.335,3945.551828,739,469,41724,47347
Mental Health Therapist 1,,1,Non-Strikeable,3477,4216.335,3945.551828,739,469,41724,47347
Mental Health Therapist 2,,1,Non-Strikeable,3780,4618.905,4289.38335,839,509,45360,51473
Mental Health Therapy Coordinator,,1,Non-Strikeable,3780,4618.905,4289.38335,839,509,45360,51473
Mental Health Therapy Technician,,1,Non-Strikeable,3236,3838.26,3672.07527,602,436,38832,44065
Microbiologist 1,,1,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Motor Carrier Enforcement Officer 1,,1,Non-Strikeable,4148,4842.555,4706.97411,695,559,49776,56484
Nutrition Consultant,,1,Non-Strikeable,5920,6608.325,6717.7644,688,798,71040,80613
Occupational Safety Specialist 3,,1,Non-Strikeable,5920,6608.325,6717.7644,688,798,71040,80613
Office Coordinator,,1,Non-Strikeable,3236,3703.005,3672.07527,467,436,38832,44065
Office Specialist 1,,1,Non-Strikeable,3009,3446.34,3414.485318,437,405,36108,40974
Office Specialist 2,,1,Non-Strikeable,3236,3703.005,3672.07527,467,436,38832,44065
Operations & Policy Analyst 1,,1,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Park Ranger 2,,1,Non-Strikeable,3959,4618.905,4492.504943,660,534,47508,53910
Park Ranger Assistant,,1,Non-Strikeable,0,,0,,0,0,0
Park Specialist,,1,Non-Strikeable,3477,4025.7,3945.551828,549,469,41724,47347
Parking Services Representative,,1,Non-Strikeable,3114,3550.71,3533.634855,437,420,37368,42404
Parts Specialist 2,,1,Non-Strikeable,3959,4618.905,4492.504943,660,534,47508,53910
Payroll Analyst,,1,Non-Strikeable,4148,4842.555,4706.97411,695,559,49776,56484
Pharmacist Resident,,1,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Pharmacy Clerk & Technician 2,,1,Non-Strikeable,3334,4025.7,3783.281505,692,449,40008,45399
Pharmacy Clerk & Technician 3,,1,Non-Strikeable,3477,4216.335,3945.551828,739,469,41724,47347
Physical/Electronic Security Technician,,1,Non-Strikeable,3959,4618.905,4492.504943,660,534,47508,53910
Print Services Technician,,1,Non-Strikeable,3334,3838.26,3783.281505,504,449,40008,45399
Printing Production Coordinator,,1,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Procurement & Contract Specialist 1,,1,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Procurement & Contract Specialist 3,,1,Non-Strikeable,5920,6608.325,6717.7644,688,798,71040,80613
Procurement And Contract Assistant,,1,Non-Strikeable,3780,4417.62,4289.38335,638,509,45360,51473
Program Analyst 1,,1,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Program Analyst 3,,1,Non-Strikeable,5920,6608.325,6717.7644,688,798,71040,80613
Psychiatric Social Worker,,1,Non-Strikeable,5920,6608.325,6717.7644,688,798,71040,80613
Public Affairs Specialist 2,,1,Non-Strikeable,5920,6608.325,6717.7644,688,798,71040,80613
Public Health Toxicologist 1,,1,Non-Strikeable,5920,6608.325,6717.7644,688,798,71040,80613
Public Service Representative 2,,1,Non-Strikeable,3009,3446.34,3414.485318,437,405,36108,40974
Public Service Representative 3,,1,Non-Strikeable,3236,3703.005,3672.07527,467,436,38832,44065
Public Service Representative 4,,1,Non-Strikeable,3959,4618.905,4492.504943,660,534,47508,53910
Rehabilitation Instructor For The Blind,,1,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Rehabilitation Instructor For The Blind (Entry),,1,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Research Analyst 1,,1,Non-Strikeable,3780,4417.62,4289.38335,638,509,45360,51473
Research Analyst 2,,1,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Retirement Counselor 1,,1,Non-Strikeable,3959,4618.905,4492.504943,660,534,47508,53910
Revenue Agent 1,,1,Non-Strikeable,3477,4025.7,3945.551828,549,469,41724,47347
Revenue Agent 2,,1,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Revenue Agent 3,,1,Non-Strikeable,4148,4842.555,4706.97411,695,559,49776,56484
Safety Specialist 1,,1,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Scientific Instrument Technician,,1,Non-Strikeable,4148,4842.555,4706.97411,695,559,49776,56484
Seamster,,1,Non-Strikeable,3236,3838.26,3672.07527,602,436,38832,44065
Shipping Point Inspector 1,,1,Non-Strikeable,3236,3703.005,3672.07527,467,436,38832,44065
Shipping Point Inspector 2,,1,Non-Strikeable,3477,4025.7,3945.551828,549,469,41724,47347
Sign Technician 1,,1,Non-Strikeable,3780,4417.62,4289.38335,638,509,45360,51473
Social Service Assistant,,1,Non-Strikeable,3477,4025.7,3945.551828,549,469,41724,47347
State Library Specialist 1,,1,Non-Strikeable,0,,0,,0,0,0
Supply Specialist 1,,1,Non-Strikeable,3114,3550.71,3533.634855,437,420,37368,42404
Supply Specialist 2,,1,Non-Strikeable,3959,4618.905,4492.504943,660,534,47508,53910
Tax Auditor/Entry,,1,Non-Strikeable,3959,4618.905,4492.504943,660,534,47508,53910
Teaching Assistant,,1,Non-Strikeable,3236,3703.005,3672.07527,467,436,38832,44065
Training & Development Specialist 1,,1,Non-Strikeable,,,,,,,
Transportation Maintenance Specialist 1,,1,Non-Strikeable,,,,,,,
Transportation Maintenance Specialist 2,,1,Non-Strikeable,3959,4618.905,5159.742353,660,1201,47508,61917
Transportation Services Office Leader,,1,Non-Strikeable,4148,4842.555,4706.97411,695,559,49776,56484
Transportation Services Representative 1,,1,Non-Strikeable,3477,4025.7,3945.551828,549,469,41724,47347
Transportation Services Representative 2,,1,Non-Strikeable,3780,4417.62,4289.38335,638,509,45360,51473
Transportation Telecommunications Specialist 1,,1,Non-Strikeable,3959,4618.905,4492.504943,660,534,47508,53910
Transporting Mental Health Aide,,1,Non-Strikeable,3477,4216.335,3945.551828,739,469,41724,47347
Truck Driver 1,,1,Non-Strikeable,3477,3838.26,3945.551828,361,469,41724,47347
Truck Driver 2,,1,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Veterans Service Officer,,1,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Veterans Trust Officer,,1,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Vocational Rehabilitation Counselor Entry,,1,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Water Resource Data Technician 1,,1,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Water Resource Data Technician 2,,1,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Wildland Fire Dispatcher,,1,Non-Strikeable,3236,3550.71,3672.07527,315,436,38832,44065
Wildland Fire Dispatcher Entry,,1,Non-Strikeable,0,,0,,0,0,0
Wildland Fire Suppression Specialist,,1,Non-Strikeable,3477,4025.7,3945.551828,549,469,41724,47347
Wildland Fire Suppression Specialist Entry,,1,Non-Strikeable,3009,3316.41,3414.485318,307,405,36108,40974
Word Processing Technician 2,,1,Non-Strikeable,3114,3446.34,3533.634855,332,420,37368,42404
Word Processing Technician 3,,1,Non-Strikeable,3334,3838.26,3783.281505,504,449,40008,45399
Youth Corrections Unit Coordinator,,1,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Accountant 1,,2,Strikeable,4356,4639,5169,283,813,52272,62028
Accountant 2,,2,Strikeable,5256,5598,6245,342,989,63072,74940
Accountant 3,,2,Strikeable,6051,6444,7206,393,1155,72612,86472
Accounting Technician,,2,Strikeable,3629,4036,4498,407,869,43548,53976
Activities Coordinator,,2,Strikeable,3629,4222,4715,593,1086,43548,56580
Administrative Law Judge 1,,2,Strikeable,6051,6444,7206,393,1155,72612,86472
Administrative Law Judge 2,,2,Strikeable,6982,7436,8314,454,1332,83784,99768
Administrative Law Judge 3,,2,Strikeable,8450,8999,10065,549,1615,101400,120780
Administrative Specialist 1,,2,Strikeable,3335,3709,4118,374,783,40020,49416
Administrative Specialist 2,,2,Strikeable,3790,4222,4715,432,925,45480,56580
Adult Protective Service Specialist,,2,Strikeable,4776,5086,5695,310,919,57312,68340
Aerial Photographer,,2,Strikeable,4555,4851,5420,296,865,54660,65040
Aircraft Pilot,,2,Strikeable,5256,5598,6245,342,989,63072,74940
Appraiser Analyst 1,,2,Strikeable,3483,3865,4301,382,818,41796,51612
Appraiser Analyst 2,,2,Strikeable,4776,5086,5695,310,919,57312,68340
Appraiser Analyst 3,,2,Strikeable,5503,5861,6549,358,1046,66036,78588
Appraiser Analyst 4,,2,Strikeable,6350,6763,7562,413,1212,76200,90744
Apprenticeship Representative,,2,Strikeable,4356,4639,5169,283,813,52272,62028
Automotive Fleet Attendant,,2,Strikeable,3005,,,,,36060,
Automotive Technician 1,,2,Strikeable,3629,4036,4498,407,869,43548,53976
Automotive Technician 2,,2,Strikeable,4356,4639,5169,283,813,52272,62028
Behavioral Health Specialist 1,,2,Strikeable,4555,4851,5420,296,865,54660,65040
Behavioral Health Specialist 2,,2,Strikeable,5256,5598,6245,342,989,63072,74940
Behavioral Health Specialist 3,,2,Strikeable,5771,6146,6866,375,1095,69252,82392
Biological Science Assistant,,2,Strikeable,0,,,,,0,
Business & Employment Specialist 2,,2,Strikeable,3964,4222,4715,258,751,47568,56580
Carpenter,,2,Strikeable,4155,4425,4943,270,788,49860,59316
Certified Occupation Therapist Assistant,,2,Strikeable,3790,4425,4943,635,1153,45480,59316
Chaplain,,2,Strikeable,4555,4851,5420,296,865,54660,65040
Chemist 1,,2,Strikeable,4555,4851,5420,296,865,54660,65040
Chemist 2,,2,Strikeable,5019,5345,5964,326,945,60228,71568
Chemist 3,,2,Strikeable,5771,6146,6866,375,1095,69252,82392
Child Nutrition Specialist,,2,Strikeable,5503,5861,6549,358,1046,66036,78588
Child Support Case Manager,,2,Strikeable,3964,4425,4943,461,979,47568,59316
Child Support Case Manager Entry,,2,Strikeable,3629,4036,4498,407,869,43548,53976
Child Support Specialist,,2,Strikeable,4356,4639,5169,283,813,52272,62028
Civil Engineering Specialist 1,,2,Strikeable,4776,5086,5695,310,919,57312,68340
Civil Rights Investigator 1,,2,Strikeable,3964,4425,4943,461,979,47568,59316
Civil Rights Investigator 2,,2,Strikeable,5019,5345,5964,326,945,60228,71568
Claims Representative 1,,2,Strikeable,4155,4425,4943,270,788,49860,59316
Claims Representative 2,,2,Strikeable,4555,4851,5420,296,865,54660,65040
Client Care Surveyor,,2,Strikeable,5503,5861,6549,358,1046,66036,78588
Clinical Laboratory Scientist,,2,Strikeable,4555,4851,5420,296,865,54660,65040
Clinical Psychologist 1,,2,Strikeable,6982,7436,8314,454,1332,83784,99768
Clinical Psychologist 2,,2,Strikeable,7678,8177,9143,499,1465,92136,109716
Communicable Disease Analyst,,2,Strikeable,4155,4425,4943,270,788,49860,59316
Community Outreach Specialist,,2,Strikeable,5019,5345,5964,326,945,60228,71568
Compliance Specialist 1,,2,Strikeable,3964,4425,4943,461,979,47568,59316
Compliance Specialist 2,,2,Strikeable,4776,5086,5695,310,919,57312,68340
Compliance Specialist 3,,2,Strikeable,5771,6146,6866,375,1095,69252,82392
Construction Inspector,,2,Strikeable,5256,5598,6245,342,989,63072,74940
Construction Project Manager 1,,2,Strikeable,5256,5598,6245,342,989,63072,74940
Construction Project Manager 2,,2,Strikeable,6051,6444,7206,393,1155,72612,86472
Construction Project Manager 3,,2,Strikeable,6664,7097,7923,433,1259,79968,95076
Cook,,2,Strikeable,3335,3709,4118,374,783,40020,49416
Custodial Services Coordinator,,2,Strikeable,0,,,,,0,
Custodian,,2,Strikeable,0,,,,,0,
Data Entry Control Technician,,2,Strikeable,0,,,,,0,
Data Entry Operator,,2,Strikeable,0,,,,,0,
Dental Assistant 2,,2,Strikeable,3790,4425,4943,635,1153,45480,59316
Dental Hygienist,,2,Strikeable,5771,6146,6866,375,1095,69252,82392
Dietitian 2,,2,Strikeable,5019,5345,5964,326,945,60228,71568
Disability Analyst 1,,2,Strikeable,4356,4639,5169,283,813,52272,62028
Disability Analyst 2,,2,Strikeable,4776,5086,5695,310,919,57312,68340
District Veterinarian,,2,Strikeable,5771,6146,6866,375,1095,69252,82392
DOJ Claims Examiner,,2,Strikeable,4356,4639,5169,283,813,52272,62028
Dormitory Counselor 1,,2,Strikeable,3218,3552,3952,334,734,38616,47424
Dormitory Counselor 2,,2,Strikeable,3790,4222,4715,432,925,45480,56580
Economist 1,,2,Strikeable,4356,4639,5169,283,813,52272,62028
Economist 2,,2,Strikeable,5256,5598,6245,342,989,63072,74940
Economist 3,,2,Strikeable,6051,6444,7206,393,1155,72612,86472
Economist 4,,2,Strikeable,6982,7436,8314,454,1332,83784,99768
Education Program Specialist 1,,2,Strikeable,6051,6444,7206,393,1155,72612,86472
Education Program Specialist 2,,2,Strikeable,6982,7436,8314,454,1332,83784,99768
Electrician 2,,2,Strikeable,5019,5345,5964,326,945,60228,71568
Electrician 3,,2,Strikeable,5503,5861,6549,358,1046,66036,78588
Electronic Publishing Design Specialist 1,,2,Strikeable,3335,3709,4118,374,783,40020,49416
Electronic Publishing Design Specialist 2,,2,Strikeable,4155,4425,4943,270,788,49860,59316
Electronic Publishing Design Specialist 3,,2,Strikeable,4555,4851,5420,296,865,54660,65040
Electronic Security Technician 2,,2,Strikeable,5019,5345,5964,326,945,60228,71568
Employment Adjudicator,,2,Strikeable,4356,4639,5169,283,813,52272,62028
Employment Appeals Board Legal Staff,,2,Strikeable,5771,6146,6866,375,1095,69252,82392
Engineering Technician 2,,2,Strikeable,3629,4036,4498,407,869,43548,53976
Engineering Technician 3,,2,Strikeable,3964,4425,4943,461,979,47568,59316
Environmental Engineer 2,,2,Strikeable,6051,6444,7206,393,1155,72612,86472
Environmental Engineer 3,,2,Strikeable,6982,7436,8314,454,1332,83784,99768
Environmental Health Specialist 3,,2,Strikeable,5503,5861,6549,358,1046,66036,78588
Epidemiologist 1,,2,Strikeable,5256,5598,6245,342,989,63072,74940
Epidemiologist 2,,2,Strikeable,6051,6444,7206,393,1155,72612,86472
Epidemiologist 3,,2,Strikeable,6664,7097,7923,433,1259,79968,95076
Equipment Operator,,2,Strikeable,3964,4425,4943,461,979,47568,59316
Executive Assistant,,2,Strikeable,4776,5086,5695,310,919,57312,68340
Executive Support Specialist 1,,2,Strikeable,3335,3709,4118,374,783,40020,49416
Executive Support Specialist 2,,2,Strikeable,3790,4222,4715,432,925,45480,56580
Facilities Engineer 1,,2,Strikeable,5256,5598,6245,342,989,63072,74940
Facilities Engineer 3,,2,Strikeable,6982,7436,8314,454,1332,83784,99768
